flight_id,distance_km,battery_level_pct,temperature_c,humidity_pct,wind_speed_kmh,payload_weight_kg,altitude_m,pilot_experience_years,traffic_density_index,sensor_reading,weather_condition,drone_type,delivery_zone,is_weekend,night_flight,gps_signal_lost,restricted_airspace_clearance,operator_certification_level,traffic_level,risk_score_hidden,risk_level
FL101801,2.77,92.9,45.0,89.6,5.0,2.06,103.9,0.0,43.4,42.0,Cloudy,Quadcopter,Suburban,False,False,False,True,Advanced,Low,-0.74,Low
FL101190,7.34,73.5,19.2,67.6,11.8,1.76,73.8,6.0,54.9,54.77,Clear,Hexacopter,Suburban,False,False,False,False,Basic,Medium,3.31,Low
FL101817,5.99,96.8,35.3,25.7,11.9,3.63,80.2,3.1,54.3,45.96,Stormy,Quadcopter,Suburban,True,True,False,False,Basic,Medium,7.33,Low
FL100251,1.01,47.6,27.4,79.1,8.6,0.8,139.2,2.8,51.4,59.81,Foggy,Quadcopter,Urban,False,False,False,False,Expert,Medium,8.66,Medium
FL102505,0.94,73.1,37.7,46.8,11.8,3.13,89.7,2.1,76.0,44.15,Clear,Quadcopter,Rural,True,True,False,False,Basic,High,6.12,Low
FL101117,7.55,69.6,28.5,63.6,30.2,0.97,69.0,1.9,30.1,52.73,Foggy,Hexacopter,Suburban,False,False,False,False,Basic,Low,13.49,Medium
FL101411,3.65,98.3,29.0,63.2,7.2,3.0,96.5,0.3,36.9,40.03,Foggy,FixedWing,Suburban,False,False,False,True,Basic,Low,16.6,Medium
FL102113,8.34,63.6,18.5,82.5,17.7,1.47,112.3,0.8,45.8,47.13,Rainy,Quadcopter,Urban,False,False,False,False,Basic,Medium,13.2,Medium
FL100408,4.68,96.6,19.7,76.5,17.2,0.17,98.3,0.0,36.1,47.13,Clear,Quadcopter,Suburban,False,True,False,True,Advanced,Low,5.65,Low
FL102579,20.82,73.7,28.5,39.3,12.8,2.31,77.7,2.6,15.2,59.49,Clear,Quadcopter,Rural,False,False,False,True,Advanced,Low,17.45,Medium
FL102254,7.33,95.0,28.0,100.0,17.5,3.51,52.6,13.4,46.9,41.82,Foggy,Hexacopter,Urban,False,False,False,True,Basic,Medium,3.1,Low
FL100052,2.71,89.9,32.9,44.5,3.1,0.43,84.6,6.1,22.0,28.16,Foggy,Quadcopter,Suburban,False,False,False,True,Advanced,Low,7.44,Low
FL100644,5.87,67.2,24.6,49.8,10.9,1.39,132.1,1.9,36.0,41.48,Cloudy,Quadcopter,Urban,False,False,False,False,Basic,Low,-2.46,Low
FL101763,3.28,74.5,16.0,42.1,29.7,4.62,134.2,1.2,32.3,52.95,Foggy,Hexacopter,Urban,False,True,False,True,Basic,Low,-2.58,Low
FL102776,13.96,96.2,39.2,12.5,8.4,2.53,113.8,14.9,43.2,56.77,Clear,Quadcopter,Rural,False,False,False,True,Basic,Medium,11.97,Medium
