Date,Ticker,Asset_Type,Sector,Market_Cap_Tier,Open,High,Low,Close,Volume
2023-01-02,AAPL,Stock,Technology,Large-Cap,130.68,131.83,130.07,131.22,3606305
2023-01-03,AAPL,Stock,Technology,Large-Cap,131.18,132.82,129.33,130.97,1718599
2023-01-04,AAPL,Stock,Technology,Large-Cap,129.1,133.64,128.03,132.55,4018645
2023-01-05,AAPL,Stock,Technology,Large-Cap,131.95,137.95,130.29,136.23,4547883
2023-01-06,AAPL,Stock,Technology,Large-Cap,136.08,137.16,134.68,135.75,4393131
2023-01-09,AAPL,Stock,Technology,Large-Cap,135.0,135.84,134.43,135.27,5659165
2023-01-10,AAPL,Stock,Technology,Large-Cap,136.24,139.84,135.58,139.16,5008252
2023-01-11,AAPL,Stock,Technology,Large-Cap,138.29,142.66,136.8,141.14,4201143
2023-01-12,AAPL,Stock,Technology,Large-Cap,140.87,142.49,138.44,140.05,3228909
2023-01-13,AAPL,Stock,Technology,Large-Cap,140.13,142.53,139.1,141.48,1445834
2023-01-16,AAPL,Stock,Technology,Large-Cap,142.38,144.21,138.6,140.41,4156386
2023-01-17,AAPL,Stock,Technology,Large-Cap,139.52,140.18,138.68,139.34,3660985
2023-01-18,AAPL,Stock,Technology,Large-Cap,140.05,141.5,138.56,140.01,3821975
2023-01-19,AAPL,Stock,Technology,Large-Cap,140.02,140.9,134.58,135.44,1748324
2023-01-20,AAPL,Stock,Technology,Large-Cap,134.85,135.97,130.36,131.45,1935551
2023-01-23,AAPL,Stock,Technology,Large-Cap,131.72,133.14,128.83,130.23,5653859
2023-01-24,AAPL,Stock,Technology,Large-Cap,130.34,131.33,127.03,127.99,3253380
2023-01-25,AAPL,Stock,Technology,Large-Cap,127.66,129.97,126.48,128.78,4681059
2023-01-26,AAPL,Stock,Technology,Large-Cap,128.82,130.64,125.01,126.8,3409352
2023-01-27,AAPL,Stock,Technology,Large-Cap,126.59,127.67,122.69,123.75,3374741
2023-01-30,AAPL,Stock,Technology,Large-Cap,123.81,128.78,122.14,127.06,5367346
