customer_id,age,customer_tenure_months,avg_watch_hours_per_week,avg_session_length_min,days_since_last_login,number_of_devices,number_of_support_tickets,monthly_price,discount_percent,subscription_plan,device_type_primary,payment_method,auto_renew_enabled,uses_offline_downloads,shared_account,watched_trending_content,engagement_level,satisfaction_rating,churn_score_hidden,churned
SV500555,31,6.5,2.8,63.3,5.1,3,0.0,12.99,30,Standard,Laptop,Debit Card,True,True,True,True,Low,High,-17.29,No
SV503491,23,15.3,2.0,38.1,34.7,5,0.0,8.99,0,Basic,Laptop,PayPal,True,True,True,False,Medium,High,6.85,Yes
SV500527,35,2.3,3.2,37.6,6.1,4,2.0,8.99,0,Standard,Tablet,Credit Card,True,True,False,True,Medium,,3.61,No
SV503925,44,15.9,5.4,30.9,18.5,1,4.0,8.99,20,Standard,Tablet,PayPal,True,False,True,False,Medium,Medium,-0.39,No
SV502989,49,7.4,19.2,73.6,7.2,2,0.0,8.99,20,Basic,Laptop,Credit Card,False,False,True,False,High,High,-9.06,No
SV500070,20,13.4,2.1,66.7,28.6,3,1.0,15.99,0,Premium,Mobile,Debit Card,True,True,False,True,Low,Medium,12.43,Yes
SV501756,53,13.1,7.5,38.5,4.6,1,1.0,8.99,0,Standard,Tablet,PayPal,True,False,False,True,Medium,High,-18.66,No
SV500211,19,19.7,9.5,54.3,11.2,5,1.0,8.99,0,Standard,Tablet,Credit Card,True,True,True,False,Medium,Medium,-4.62,No
SV500196,41,2.9,5.2,3.0,5.2,4,2.0,8.99,0,Premium,Mobile,Debit Card,True,True,False,False,Low,Medium,10.88,Yes
SV500803,38,15.8,5.4,88.7,1.6,3,3.0,12.99,0,Basic,SmartTV,Debit Card,False,False,True,True,Medium,Medium,-3.74,No
SV503409,34,18.0,1.7,64.4,0.3,2,0.0,8.99,20,Standard,SmartTV,Credit Card,True,False,False,True,Low,High,-18.3,No
SV503836,40,24.5,2.2,67.3,29.4,5,0.0,8.99,0,Standard,Mobile,Credit Card,True,False,False,True,Low,High,2.82,No
SV501146,39,22.5,12.7,59.9,7.3,3,0.0,12.99,0,Family,Laptop,Credit Card,True,False,False,True,Medium,High,-12.61,No
SV501498,42,24.6,30.0,25.2,42.3,5,0.0,12.99,0,Basic,Mobile,Credit Card,True,False,False,True,High,High,-22.82,No
SV503858,30,16.7,2.1,26.4,35.3,4,0.0,15.99,30,Standard,Mobile,PayPal,True,False,False,True,Low,High,1.5,No
SV503482,45,24.2,8.6,42.7,1.1,5,2.0,15.99,0,Standard,SmartTV,Gift Card,True,True,True,True,High,High,-11.11,No
SV501185,19,19.4,2.7,22.2,1.0,4,0.0,8.99,30,Basic,Mobile,Credit Card,True,False,False,False,Low,High,10.02,Yes
SV500471,30,24.4,7.1,61.5,4.7,5,0.0,8.99,0,Family,Mobile,Gift Card,True,True,False,True,Medium,High,-9.11,No
SV500594,20,55.5,14.1,,32.6,3,0.0,19.99,30,Family,Laptop,Debit Card,True,True,False,True,High,High,-21.93,No
SV500321,32,5.9,5.3,69.4,18.5,1,1.0,12.99,30,Premium,SmartTV,Debit Card,False,False,False,True,Low,High,2.17,No
